Index Keywords,Cited by,EID
Booking systems; Control engineering education; Distributed systems; Experimental environment; Innovative projects; Integration process; Learning management system; Learning tool; Remote experimentation; Remote laboratories; Remote labs; System assessment; Web based laboratories; Web-based technologies; Automation; Control; Distance education; Experiments; Innovation; Internet; Laboratories; Reservation systems; Telecommunication networks; User interfaces; Process control,44,2-s2.0-84857768895
Active rectifiers; Alternative methods; Current control; Current control schemes; Current waveforms; DC links; DC-link voltages; Front end; H-bridges; Harmonic compensation; Low Power; Modular structures; Modulation techniques; Multi-output; Multilevel converter; Neutral-point-clamped converter; Output voltages; Output waveform; Series active filters; Voltage distortions; Active filters; DC power transmission; DC transformers; Electric current control; Power electronics; Electric rectifiers,44,2-s2.0-79956274936
piroxicam; algorithm; article; calibration; chemometric analysis; combinatorial chemistry; controlled study; crystallization; drug structure; image analysis; mathematical computing; near infrared spectroscopy; priority journal; process development; quantitative analysis; validation process,44,2-s2.0-79955121666
"BP algorithm; Continuous time; Discrete time system; Discrete time-domain; Discrete-time; Fuzzy inference systems; Identification; Identification errors; Initial weights; Kalman filter algorithms; On-line identification; On-line process; Overfitting; prediction; Recursive least square algorithms; Research papers; RLS algorithms; Takagi-sugeno; Time varying; Uniform stability; Animals; Deposits; Digital control systems; Discrete time control systems; Feedforward neural networks; Forecasting; Fuzzy inference; Population distribution; Stability; Warehouses; Backpropagation algorithms; algorithm; article; artificial intelligence; artificial neural network; automated pattern recognition; computer program; methodology; statistical model; teaching; Algorithms; Artificial Intelligence; Linear Models; Neural Networks (Computer); Pattern Recognition, Automated; Software Design; Teaching",44,2-s2.0-79952195647
Linear matrix inequalities; State feedback; Asymptotically stable; Dissipative control; Dissipative state; Dissipativity; Linear matrix inequality approach; Output feedback controls; Two Dimensional (2 D); Two-dimensional (2D) systems; Feedback,43,2-s2.0-84934300818
Classical control techniques; Current harmonic distortions; DC-AC power conversion; Digital control; Discrete-time signals; Four-leg inverters; Predictive current control; Three-phase four-leg inverter; Control systems; Digital control systems; Electric current control; Loading; Model predictive control; Modulation; Power converters; Predictive control systems; Vector spaces; Electric inverters,43,2-s2.0-84879113727
Current balance; Current source inverter; FPGA control; Gate signals; Higher efficiency; Phase shifted; Sinusoidal pulse width modulation; State-machine; Industrial applications; MATLAB; Phase shift; Signal generators; Topology; Field programmable gate arrays (FPGA),43,2-s2.0-84866299565
Amplitude and phase estimations; Distorted signals; Finite-impulse response; Frequency adaptation; Fundamental frequencies; Industrial power system harmonics; New design; New indices; Rounding errors; Sequence components; Signal cancellation; Active filters; Digital filters; Vector spaces; Discrete Fourier transforms,43,2-s2.0-84860449384
Evidence Based Software Engineering; Mapping studies; Overall quality; Potential impacts; research methods; Software engineering practices; Systematic literature review; Systematic Review; Tertiary study; Curricula; Publishing; Research; Software engineering,43,2-s2.0-79958214321
,43,2-s2.0-78651362113
Control strategies; Control techniques; Design and implementations; Exchange of information; Inductor currents; Input voltages; Instantaneous value; LC filter; Load currents; Maximum load; Operation point; Output filters; Output voltages; Parallel arrangement; Parallel operations; Parallel-connected; parallelism; Power flows; Redundant system; single-phase; Steady-state operation; Theoretical and experimental; Voltage source inverter; Electric inverters; Power supply circuits; Uninterruptible power systems; Power quality,42,2-s2.0-84873676477
ankyrin; basic leucine zipper transcription factor; lesions simulating disease resistance 1 protein; leucine zipper 23 protein; protein ANK1; protein BZI 1; protein NPR1; protein S1AREB1; protein S1AREB2; protein SBZ 1; protein TGA2; protein TGA3; protein TGAP1; protein WRKY; unclassified drug; vegetable protein; Arabidopsis protein; basic leucine zipper transcription factor; agronomy; Arabidopsis; biotic stress; cotton; cultivar; F box motif; gene expression profiling; genome analysis; microarray analysis; molecular model; nonhuman; nucleotide sequence; plant defense; plant genome; plant pathogen interaction; promoter region; protein function; protein protein interaction; review; sequence analysis; signal transduction; disease resistance; genetics; Gossypium; metabolism; physiology; plant disease; Arabidopsis; Arabidopsis Proteins; Basic-Leucine Zipper Transcription Factors; Disease Resistance; Gossypium; Plant Diseases,42,2-s2.0-84876327670
Approximation errors; Backpropagation network; Optimal controller; Optimal controls; Tracking errors; Trajectory tracking problems; Uniform stability; Artificial limbs; Robotic arms,42,2-s2.0-84878419271
G-protein coupled receptors; Ligand library; Scientific community; Chemical engineering; Chemistry; Ligands,42,2-s2.0-84858052745
A plants; Detectability; High-order; Linear time invariant systems; Non-linear observer; Observer design; Relative degrees; Sliding modes; Sliding-mode observer; Unknown inputs; Invariance; Linear systems; Time varying control systems; Observability,42,2-s2.0-79954416537
,41,2-s2.0-84894047367
Authorship attribution; Classification features; J48; N-grams; Parsing; sn-Grams; SVM; Forestry; Learning algorithms; Natural language processing systems; Niobium; Support vector machines; Tin; Syntactics; Algorithms; Data Processing; Forestry; Languages; Niobium,41,2-s2.0-84887198927
Concordance index; Consensus schemes; Fuzzy preference relations; Group decision; Information flows; Multicriteria decision; Nonreciprocal; Artificial intelligence; Software engineering,41,2-s2.0-84862847544
Actuator fault; Analytical redundancy; Fault isolation; Generalized observer schemes; Higher order; Model-based fault diagnosis; Robot manipulator; Second orders; Sensor fault; Simultaneous faults; Single fault; Sliding modes; Sliding-mode observer; Specific component; Super-twisting; Unknown input observer; Variable structure system; Actuators; Electric fault location; Failure analysis; Fault detection; Finite difference method; Flexible manipulators; Industrial robots; Manipulators; Modular robots; Robot applications; Robots; Robustness (control systems); Sensors; Electric fault currents,41,2-s2.0-84860442718
Automated monitoring; Automated tools; Experimental studies; Health monitoring of structure; Internal corrosion; Maintenance decisions; MUSIC algorithms; Structural damages; Vibration signature analysis; Automation; Corrosion; Cracks; Damage detection; Neural networks; Trusses; Wavelet analysis; Crack detection; algorithm; amplitude; artificial neural network; computer simulation; damage mechanics; software; structural response; vibration,41,2-s2.0-84865735024
Application examples; Approximate solution; Data granularity; Data stream processing; Fuzzy data; Granular modeling; High quality; Input-output data; Modeling approach; Modeling frameworks; Nonstationary; One-pass; Online data; Online learning; Regime shift; Rule-based models; Stream application; Temperature prediction; Time series prediction; Time varying; Uncertain datas; Data communication systems; Data mining; Granular computing; Information granules; Learning algorithms; Weather forecasting,41,2-s2.0-84860424873
antimalarial agent; arylpiperazine derivative; chloroquine; unclassified drug; antimalarial activity; antimalarial drug resistance; article; calculation; chemical modification; drug potency; drug structure; IC 50; linear regression analysis; malaria; molecular interaction; Plasmodium falciparum; prediction; priority journal; quantitative structure activity relation; statistical model; validation process,41,2-s2.0-83655184806
Candidate solution; Error rate; Hybrid algorithms; Hybrid method; Initial solution; Learning problem; Metalearning; Optimum solution; Parameter selection; Parameter spaces; Parameter values; Regression problem; Regularization parameters; Search; Search Algorithms; Search spaces; Search technique; Support vector; Evolutionary algorithms; Information analysis; Parameter estimation; Support vector machines; Tabu search; Learning algorithms; article; classification algorithm; intermethod comparison; learning algorithm; limit of detection; mathematical computing; mathematical model; particle swarm optimization; prediction; priority journal; problem based learning; process development; process optimization; regression analysis; support vector machine; Tabu search; validation process,41,2-s2.0-82455210873
Active switches; Average current-mode control; Closed loops; Continuous conduction mode; Current mode; Dc-dc power conversion; Fuel cell system; HF transformers; High frequency HF; If there are; Input voltages; Isolation transformers; Main characteristics; Number of switches; Operational regions; Output current; Output voltages; Photovoltaic arrays; Power sources; Reduced inputs; Ripple currents; Step-up converter; Theoretical expression; Current voltage characteristics; DC-DC converters; Fuel cells; HVDC power transmission; Industrial applications; Photovoltaic cells; Voltage regulators; DC transformers,41,2-s2.0-79960347513
Acceptance sampling; Data analysis; Design/methodology/approach; Facilitating conditions; Generalisation; Partial least squares; Peru; Policy makers; Social influence; Survey methods; Test regions; Unified theory of acceptance and use of technology; Data reduction; Developing countries; E-learning; Information technology; Motivation; Quality control; Engineering education,41,2-s2.0-79953898132
Causal model; Control purpose; Expert control; Flotation process; Flotation units; Froth image; Industrial scale; Key variables; Modeling; Monitoring and control; Multivariate statistics; Novel techniques; On-line diagnosis; Operating data; PLS models; Predictive control; Fault detection; Flotation; Multivariant analysis; Predictive control systems; Process control,41,2-s2.0-79951722527
AC-AC converters; Carrier-based pulsewidth modulation; Matrix converter; multiphase; Nine-phase; Electric inverters; Modulation; Power converters; HVDC power transmission,40,2-s2.0-80052643574
Backorders; Classical methods; Cost-difference; Deteriorating items; Economic order quantity models; EOQ; Inventory models; Inventory problem; Literature search; Optimal solutions; Original model; Simplified models; Total costs; Economic analysis; Supply chain management; Deterioration,40,2-s2.0-79957848203
"carboxyl group; graphene; graphene oxide; metal oxide; unclassified drug; article; calculation; chemical reaction; chemical structure; controlled study; density functional theory; energy; geometry; physical chemistry; prediction; priority journal; semiconductor; Electric Conductivity; Electrons; Graphite; Models, Chemical; Oxides; Quantum Theory; Semiconductors",40,2-s2.0-79958089429
Current observer; Discrete-time sliding mode; Electromotive force (EMF); Lyapunov's direct method; Sensorless vector control; Power converters; Synchronous machinery; Electromotive force,39,2-s2.0-84887300392
Acer rubrum extract; albendazole; annona senegalensis extract; Anogeissus leiocarpus extract; antifilarial agent; antiparasitic agent; Artemisia annua extract; Cleome droserifolia extract; Clerodendrum umbellatum extract; Curcuma longa extract; diethylcarbamazine; ellagic acid; Euphorbia hirta extract; gallic acid; gentisic acid; Hagenia abyssinica extract; Homalium africanum extract; ivermectin; Khaya senegalensis extract; Lespedeza cuneata extract; levamisole; Margaritaria discoidea extract; natural product; Parquetina nigrescens extract; plant extract; Quercus alba extract; Rhus typhina extract; Rosa multiflora extract; tannin derivative; unclassified drug; unindexed drug; Acer rubrum; Annonaceae; Anogeissus leiocarpus; anthelmintic activity; antibiotic therapy; bark; Caenorhabditis elegans; chemical modification; drug potency; drug synthesis; drug targeting; Euphorbiaceae; filariasis; hagenia abyssinica; health care need; Homalium africanum; human; in vitro study; in vivo study; Khaya senegalensis; lespedeza cuneata; lymphatic filariasis; Margaritaria discoidea; medicinal plant; microbial growth; neglected disease; nematode; nonhuman; Onchocerca volvulus; onchocerciasis; parasite control; parasite load; parasitosis; Parquetina nigrescens; phytochemistry; plant leaf; plant root; primary health care; Quercus alba; review; Rhus typhina; Rosa multiflora; schistosomiasis; Simulium damnosum; traditional medicine; vector control,39,2-s2.0-84875084369
AC-AC power conversion; Cascaded H-bridge inverters; Complex task; Control objectives; Digital control; Fuzzy decision-making; Matrix converter; Multi objective; Natural design; Predictive control; Selection scheme; Selection stages; State selection; State selectors; Supply currents; Voltage source inverter; Weighting factors; Bridge circuits; Control systems; Decision making; Digital control systems; Electric current control; Electric inverters; Fuzzy logic; Model predictive control; Power converters; Predictive control systems,39,2-s2.0-84866562722
Complex computation; Detecting objects; Detection models; Dynamic background; Human behaviors; Human intervention; Main parameters; Neural-fuzzy model; Object Detection; Object detection method; Parameter adjustments; Quantitative comparison; Shadow elimination; Surveillance systems; Video analysis; Video scene; Video segmentation; Video sequences; Conformal mapping; Object recognition; Security systems,39,2-s2.0-84859704771
Design factors; Design of experiments (DoE); Design parameters; Different sizes; Hard turning; Hard turning process; Hardened steel; Network design; Orthogonal array; Radial base function; Radial basis function neural networks; Radial functions; RBF Neural Network; Spread factors; Taguchi; Training sets; Trial-and-error approach; Turning process; Algorithms; Design; Design of experiments; Experiments; Forecasting; Network performance; Neural networks; Radial basis function networks; Surface roughness; Taguchi methods; Turning; Orthogonal functions,39,2-s2.0-84858332972
Circle detection; Collective intelligences; Electro-magnetism optimization; Intelligent image processing; Nature-inspired algorithms; Shape detection; Algorithms; Computer vision; Detectors; Hough transforms; Optimization; Edge detection,39,2-s2.0-80055045787
"3D Structure; Data sets; Dimensional representation; Landscape index; Multitarget; Serotonin transporters; Similarity measure; Smooth regions; Structural representation; Structural similarity; Structure activity; Structure similarity; Structure-activity relationships; Systematic analysis; Scaffolds; Three dimensional; Landforms; dopamine transporter; noradrenalin transporter; serotonin transporter; article; chemical structure; chemistry; structure activity relation; Dopamine Plasma Membrane Transport Proteins; Models, Molecular; Norepinephrine Plasma Membrane Transport Proteins; Serotonin Plasma Membrane Transport Proteins; Structure-Activity Relationship",39,2-s2.0-80053327464
"Area under the ROC curve; Breast Cancer; Breast mass; Computational methodology; Computer-aided detection; False negatives; False positive; Geostatistical functions; High frequency; Internal structure; Mammogram; Personal image; Reducing noise; Ripley's K function; Shape descriptors; Support vector; Mammography; Support vector machines; Wireless networks; X ray screens; Cellular neural networks; article; breast cancer; breast examination; false negative result; false positive result; female; geostatistical analysis; human; image analysis; mammography; nerve cell network; priority journal; receiver operating characteristic; sensitivity and specificity; support vector machine; Algorithms; Breast Neoplasms; Cluster Analysis; Databases, Factual; Female; Humans; Mammography; Neural Networks (Computer); Radiographic Image Interpretation, Computer-Assisted; ROC Curve; Sensitivity and Specificity",39,2-s2.0-79960635985
,38,2-s2.0-84882421302
BOOST converter; DC-DC boost converters; High voltage gain; Inherent limitations; Renewable energy conversion systems; Renewable energy systems; Voltage multiplier cells (VMCs); Voltage multipliers; Cells; Cytology; Energy conversion; Renewable energy resources; DC-DC converters,38,2-s2.0-84878154401
Artificial bee colonies; Automatic thresholding; Differential Evolution; Gaussian functions; Intelligent image processing; Algorithms; Graphic methods; Particle swarm optimization (PSO); Pixels; Image segmentation,38,2-s2.0-84870250648
advanced glycation end product; advanced oxidation protein product; catalase; glucose; glutathione peroxidase; insulin; reactive nitrogen species; reactive oxygen metabolite; superoxide dismutase; antioxidant activity; atherosclerosis; chronic disease; clinical study; diabetic neuropathy; diabetogenesis; disease association; disease carrier; DNA damage; endothelial dysfunction; glucose transport; human; hyperglycemia; insulin resistance; lipid peroxidation; non insulin dependent diabetes mellitus; nonhuman; oxidative stress; pancreas islet beta cell; review; signal transduction,38,2-s2.0-84875120227
"Area under roc curve (AUC); Benign lesion; Breast lesion; Breast ultrasound; Classification performance; Classification procedure; Co-occurrence; Co-occurrence statistics; Co-occurrence-matrix; Feature space; Figure of merits; Fisher linear discriminant analysis; Gray level co-occurrence matrix; Gray levels; Gray scale; Gray-level; Minimum bounding rectangle; Mutual informations; Quantization levels; Texture descriptors; Texture features; Tumor classification; Iterative methods; Pixels; Textures; Ultrasonics; Ultrasonic applications; algorithm; area under the curve; article; breast tumor; classification; echography; echomammography; factual database; female; human; image processing; methodology; receiver operating characteristic; Algorithms; Area Under Curve; Breast Neoplasms; Databases, Factual; Female; Humans; Image Processing, Computer-Assisted; ROC Curve; Ultrasonography, Mammary",38,2-s2.0-84867081344
Direct solvers; Isogeometric analysis; K-Refinement; Multi-frontal solvers; Performance; Laplace equation; Linear systems; Polynomial approximation,38,2-s2.0-84856332022
Content based image retrieval; Image annotation; Image collections; Latent Semantic Indexing; Multi-modal; Nonnegative matrix factorization; Blind source separation; Image retrieval; Indexing (of information); Semantics; Singular value decomposition; User interfaces; Factorization; algorithm; article; automatic image annotation; automation; controlled study; image analysis; image indexing; image processing; image retrieval; information processing; mathematical phenomena; nonnegative matrix factorization; priority journal; singular value decomposition,38,2-s2.0-80555123004
Content-based; Data sets; Machine learning methods; mobile spam; Mobile-phone users; Service provider; SMS messages; SPAM filter; Spam filtering; Spam messages; Cellular telephone systems; Information retrieval systems; Learning systems; Mobile phones; Mobile telecommunication systems; Telecommunication equipment; Telephone; Telephone sets; Internet,38,2-s2.0-80054786874
,38,2-s2.0-79959590939
Classification; Competitive neuron; Computational intelligence; Lattice theory; Minimax algebra; Morphological neural networks; Perceptron; Algebra; Artificial intelligence; Decision trees; Functions; Fuzzy neural networks; Fuzzy sets; Granular computing; Learning algorithms; Morphology; Pattern recognition systems; Rough set theory; Signal reconstruction; Mathematical morphology,38,2-s2.0-79952189904
Centralized algorithms; Cooperation behavior; Cooperation enforcement; Environmental change; Evolution of cooperation; Forward packets; Genetic evolution; MANET; Noncooperative game; Selfish node; Theory concept; Trust models; Ad hoc networks; Behavioral research; Evolutionary algorithms; Mobile ad hoc networks; Mobile telecommunication systems; Game theory,38,2-s2.0-78649325432
bacterial DNA; bacterial protein; exopolysaccharide; exoprotein; extracellular DNA; lipopolysaccharide; unclassified drug; Arabidopsis; bacterial cell wall; bacterial colonization; bacterial flagellum; bacterial survival; bacterium adherence; bacterium pilus; biofilm; cell adhesion; cell aggregation; cell interaction; cell surface; Gram negative bacterium; Gram positive bacterium; nonhuman; plant pathogen interaction; review; Rhizobium; structure analysis; symbiosis; Bacterial Adhesion; Biofilms; Gram-Negative Bacteria; Lipopolysaccharides; Plant Roots; Plants; Symbiosis,37,2-s2.0-84881127961
Adaptation algorithms; Adaptive sliding mode control; Adaptive sliding mode controller; Electropneumatic actuators; Experimental studies; Gain adaptation; Nonlinear MIMO systems; Practical stability; Actuators; Algorithms; MIMO systems; Pneumatic actuators; Sliding mode control,37,2-s2.0-84875082312
Browsing; Clickstream; Online social networks; Session; Social Networks; User behaviors; Design; Electric network topology; Social networking (online); Behavioral research,37,2-s2.0-84858438065
Aggregate planning; Capacity planning; Control and management; Industry practices; Literature reviews; Master production scheduling; Operations management; Ordering system; Production planning and control; remanufacturing; Research needs; Routings; Planning; Production control; Project management; Research; Reviews; Stochastic systems; Production engineering,37,2-s2.0-84859183899
,37,2-s2.0-84858312479
L-shaped method; Multi objective; Optimality; Supply chain design; Transportation channel; Transportation channels; Design; Manufacture; Multiobjective optimization; Risk perception; Stochastic systems; Supply chain management; Supply chains; Warehouses; Numerical methods; Optimization; Stochastic models; Design; algorithm; design; distribution system; numerical method; optimization; stochasticity; transportation mode; transportation system; uncertainty analysis,37,2-s2.0-79955961663
Balance equations; Dilution control; Experimental verification; FEM modeling; Laser power; Laser surface treatment; Melt pool; Physical effects; Powder heating; Process settings; Simulation result; Substrate temperature; Heating; Lakes; Laser cladding; Mathematical transformations; Real time control; Surface treatment; Dilution,37,2-s2.0-78449250734
Back-to-back converter; Control strategies; DC-link voltages; Digital model; Doubly fed induction generators; Fault ride through capability (FRT); Fault ride-through; Grid codes; Internal model control; MATLAB /simulink; Power limit; Scale-down; Two-degree-of-freedom; Model predictive control; Robust control; Electric fault currents,36,2-s2.0-84868120550
Anhydrous ethanol; Azeotropic mixture; Control schemes; Design and control; Distillation control; Entrainer; Ethanol dehydration; Ethanol-water; Extractive distillation; Feed molar ratio; Feed temperature; High purity; Intermediate stage; Minimal energy; Reflux ratio; Stable operation; Computer simulation; Dehydration; Dewatering; Distillation; Ethanol; Glycerol; Distillation columns,36,2-s2.0-84857443212
"ferroportin; hemojuvelin; hepcidin; transferrin receptor 2; HAMP protein, human; hepcidin; HFE protein, human; HLA antigen class 1; membrane protein; TFR2 protein, human; transferrin receptor; differential diagnosis; ferroportin gene; gene; gene mutation; genetic screening; genotyping technique; hemochromatosis; hemojuvelin gene; hepcidin gene; heterozygosity; HFE gene; homozygosity; human; iron depletion; iron metabolism; iron storage; molecular diagnosis; nonhuman; phenotype; review; transferrin receptor 2 gene; amino acid substitution; genetics; hemochromatosis; metabolism; missense mutation; molecular pathology; pathology; procedures; Amino Acid Substitution; Hemochromatosis; Hepcidins; Histocompatibility Antigens Class I; Humans; Membrane Proteins; Mutation, Missense; Pathology, Molecular; Receptors, Transferrin",36,2-s2.0-84857669400
Behavior analysis; Detailed models; Driving forces; Energy demands; Ethanol plants; Optimal design; Optimization models; Plant designs; Plant performance; Process Variables; Renewable energy source; Short term; Simultaneous optimization; Sustainability issues; Sustainable design; Sustainable process; Yeast production; Bioethanol; Design; Energy management; Environmental impact; Ethanol; Fossil fuels; Optimization; Supply chain management; Supply chains; Sustainable development; Availability,36,2-s2.0-79960564382
Computational demands; Experimental data; Full search; Molecular descriptors; Optimal results; Optimal sets; QSPR model; Replacement methods; Selection process; Algorithms; Lakes; Optimization; Computational chemistry; algorithm; article; chemical structure; computer simulation; quantitative structure activity relation; statistical model; Algorithms; Computer Simulation; Linear Models; Molecular Structure; Quantitative Structure-Activity Relationship,36,2-s2.0-79960743449
federated WebLabs; High-speed; Mobile robotic; Network linking; Non-functional requirements; Operational aspects; Private networks; Public internet; Remote laboratories; Web technologies; WebLabs; Design; Quality of service; User interfaces; Laboratories,36,2-s2.0-79958813546
"Algorithms; Brain; Diffusion Magnetic Resonance Imaging; Humans; Image Processing, Computer-Assisted",35,2-s2.0-84894069836
Cascaded multilevel; Cascaded multilevel converter; High-frequency links; Hybrid inverters; Modulation indexes; Multicell; Number of components; Power conversion; Capacitors; Machine components; Modulation; Optimization; Quality control,35,2-s2.0-84879073953
"[(aryl)arylsulfanylmethyl]pyridine; alpha tocopherol; antimalarial agent; antioxidant; artemisinin; ascorbic acid; beta carotene; catalase; ceruloplasmin; chloroquine; curcumin; gamma interferon; glutathione peroxidase; interleukin 10; interleukin 12; interleukin 4; malonaldehyde; mefloquine; metalloporphyrin; nitric oxide; primaquine; protein p40; quinine; reactive nitrogen species; reactive oxygen metabolite; retinol; superoxide dismutase; unclassified drug; unindexed drug; urate; xanthine oxidase; nitric oxide; reactive oxygen metabolite; anemia; antimicrobial therapy; antioxidant activity; cytokine release; diet supplementation; disease activity; drug mechanism; drug potentiation; drug targeting; enzyme activity; host resistance; human; in vitro study; lipid peroxidation; liver toxicity; malaria; malaria falciparum; nonhuman; oxidative stress; pathogenesis; phagocyte; Plasmodium; Plasmodium berghei; Plasmodium berghei infection; Plasmodium vinckei; Plasmodium yoelii; protein blood level; protein expression; reperfusion injury; respiratory burst; review; therapy effect; thrombocyte count; thrombocytopenia; vitamin supplementation; animal; hemolysis; host parasite interaction; immunology; innate immunity; malaria; metabolism; oxidative stress; physiology; Plasmodium falciparum; Agaricus sylvaticus; Animals; Hemolysis; Host-Parasite Interactions; Humans; Immunity, Innate; Malaria; Nitric Oxide; Oxidative Stress; Plasmodium falciparum; Reactive Oxygen Species",35,2-s2.0-84871683006
Experimental evidence; Genetic optimization; Human recognition; Inference models; Mamdani model; Modular network; Modular neural networks; Recognition; Recognition rates; Sugeno model; Type-2 fuzzy logic; Biometrics; Fuzzy logic; Fuzzy systems; Integration; Neural networks; Optimization; Genetic algorithms,35,2-s2.0-84859100699
CP-Ti; Debinding; Metal injection moulding; Solid polymers; Solvent debinding; Thermal debinding; Mechanical properties; Medical applications; Metals; Sintering; Titanium; Titanium alloys; Titanium metallography; Injection molding,35,2-s2.0-84859038958
Additive Manufacturing; Advanced manufacturing technologies; ANOVA analysis; Build direction; Dimensional errors; Direct metal laser sintering; Iron based powder; Iron-based; Layer thickness; Layer-by-layers; Part quality; Process parameters; Rapid manufacturing; Research support; Selective laser melting; Selective laser sintering; Deposition; Laser heating; Manufacture; Powder metals; Surface roughness; Mechanical properties,35,2-s2.0-84861683444
"Autonomic nervous system; Baroreflex; Cardiovascular control; Cardiovascular variabilities; Closed loops; Coupling strengths; Direct links; Head-up tilts; Modeling approach; Open loops; Systolic arterial pressures; Biology; Computer applications; Models; Couplings; analytic method; arterial pressure; article; body position; breathing; cardiopulmonary function; closed loop multivariate dynamical adjustment; head up tilt; open loop multivariate dynamical adjustment; pressoreceptor reflex; priority journal; sympathetic activation; sympathetic function; systolic arterial pressure; Adult; Baroreflex; Blood Pressure; Female; Heart; Humans; Linear Models; Lung; Male; Middle Aged; Models, Cardiovascular; Multivariate Analysis; Posture; Statistics, Nonparametric",35,2-s2.0-84857062059
Best-known bounds; Binary alphabets; Combinatorial structures; Computational time; Covering arrays; Detection capability; Greedy method; matrix; Recursive construction; Simulated annealing algorithms; State-of-the-art algorithms; Test case; Algorithms; Computer software selection and evaluation; Fault detection; Software testing; Simulated annealing,35,2-s2.0-80755186924
"adhesive force; air analysis; atomic force microscopy; atomic force spectroscopy; force; mathematical analysis; molecular interaction; polarization; review; spectroscopy; surface force; surface property; surface tension; theoretical model; water analysis; chemistry; static electricity; theoretical model; vacuum; wettability; inorganic compound; organic compound; water; Inorganic Chemicals; Microscopy, Atomic Force; Models, Theoretical; Organic Chemicals; Static Electricity; Surface Properties; Vacuum; Water; Wettability",35,2-s2.0-84867765210
"2 acetamido 2 (furan 2 yl) n (pyridin 3 ylmethyl)acetamide; 2 acetamido 3 amino n benzyl 3 thioxopropanamide; 2 acetamido n (2 fluorobenzyl) 2 (furan 2 yl)acetamide; 2 acetamido n (2,5 difluorobenzyl) 2 (furan 2 yl)acetamide; 2 acetamido n (2,6 difluorobenzyl) 2 (furan 2 yl)acetamide; 2 acetamido n (3 fluorobenzyl)propanamide; 2 acetamido n (4 fluorobenzyl) 2 (furan 2 yl)acetamide; 2 acetamido n benzyl 2 (1 phenylhydrazinyl)acetamide; 2 acetamido n benzyl 2 (1h pyrrol 1 yl)acetamide; 2 acetamido n benzyl 2 (1h pyrrol 2 yl)acetamide; 2 acetamido n benzyl 2 (5 methyl 1h pyrrol 2 yl)acetamide; 2 acetamido n benzyl 2 (5 methylfuran 2 yl)acetamide; 2 acetamido n benzyl 2 (dimethylamino)acetamide; 2 acetamido n benzyl 2 (ethylamino)acetamide; 2 acetamido n benzyl 2 (furan 2 yl)acetamide; 2 acetamido n benzyl 2 (pyridin 2 yl)acetamide; 2 acetamido n benzyl 2 (tetrahydrofuran 2 yl)acetamide; 2 acetamido n benzyl 2 (thiophen 2 yl)acetamide; 2 acetamido n benzyl 2 (thiophen 3 yl)acetamide; 2 acetamido n benzyl 2 [hydroxy(methyl)amino]acetamide; 2 acetamido n benzyl 2 phenylacetamide; 2 acetamido n benzylpent 4 enamide; 2 acetamido n benzylpropanamide; 5,5 dimethyl 3 (phenylamino)cyclohex 2 enone; anticonvulsive agent; ethyl 6 methyl 4 (5 methylisoxazol 3 ylamino) 2 oxocyclohex 3 enecarboxylate; methyl 4 (4 chlorophenylamino) 6 methyl 2 oxocyclohex 3 enecarboxylate; methyl 4 (4 cyanophenylamino) 6 methyl 2 oxocyclohex 3 enecarboxylate; methyl 6 methyl 4 (4 nitrophenylamino) 2 oxocyclohex 3 enecarboxylate; unclassified drug; unindexed drug; anticonvulsive agent; nitrogen derivative; anticonvulsant activity; article; controlled study; drug classification; drug identification; drug potency; intermethod comparison; mathematical model; molecular dynamics; molecular model; Monte Carlo method; pharmacophore; prediction; process development; quantitative structure activity relation; structural homology; validation process; chemistry; Anticonvulsants; Nitrogen Compounds; Quantitative Structure-Activity Relationship",35,2-s2.0-84055200116
acetylcysteine; beta actin; CCAAT enhancer binding protein; copper zinc superoxide dismutase; glutathione peroxidase; glutathione peroxidase 1; insulin receptor; manganese superoxide dismutase; metallothionein; peroxisome proliferator activated receptor gamma; protein kinase B; reactive oxygen metabolite; somatomedin C; superoxide dismutase; triacylglycerol; acetylcysteine; biological marker; CCAAT enhancer binding protein beta; glutathione; glutathione peroxidase; peroxisome proliferator activated receptor gamma; reactive oxygen metabolite; superoxide dismutase; triacylglycerol; adipocyte; aerobic metabolism; article; cell culture; cell differentiation; concentration response; controlled study; culture medium; DNA content; down regulation; enzyme activity; enzyme assay; human; human cell; lipid peroxidation; lipid storage; low drug dose; obesity; oxidative stress; protein content; protein expression; protein phosphorylation; Western blotting; 3T3 cell line; adipocyte; animal; cell differentiation; cytology; metabolism; mouse; Mus; 3T3-L1 Cells; Acetylcysteine; Adipocytes; Animals; Biological Markers; CCAAT-Enhancer-Binding Protein-beta; Cell Differentiation; Glutathione; Glutathione Peroxidase; Mice; PPAR gamma; Reactive Oxygen Species; Superoxide Dismutase; Triglycerides,35,2-s2.0-80055029818
Binary systems; Control structure; Distillation process; High purity; Internal heat integration; PI Controller; Pressure-swing distillation process; Process modeling; Purification process; Renewable fuels; Separation methods; Separation process; Simulation; Transportation sector; Bioethanol; Distillation; Distillation columns; Ethanol fuels; Integration; Purification; Solvents; Volatile organic compounds; Ethanol,35,2-s2.0-79960560874
